statecode,date,state,delta,confirmed,population,cases_per_mil
AN,2020-03-26,Andaman and Nicobar Islands,1,1,380581,2.6275615440602658
AN,2020-03-27,Andaman and Nicobar Islands,5,6,380581,13.137807720301328
AN,2020-03-28,Andaman and Nicobar Islands,3,9,380581,7.882684632180797
AN,2020-03-29,Andaman and Nicobar Islands,0,9,380581,0.0
AN,2020-03-30,Andaman and Nicobar Islands,1,10,380581,2.6275615440602658
AN,2020-03-31,Andaman and Nicobar Islands,0,10,380581,0.0
AN,2020-04-01,Andaman and Nicobar Islands,0,10,380581,0.0
AN,2020-04-02,Andaman and Nicobar Islands,0,10,380581,0.0
AN,2020-04-03,Andaman and Nicobar Islands,0,10,380581,0.0
AN,2020-04-04,Andaman and Nicobar Islands,0,10,380581,0.0
AN,2020-04-05,Andaman and Nicobar Islands,0,10,380581,0.0
AN,2020-04-06,Andaman and Nicobar Islands,0,10,380581,0.0
AN,2020-04-07,Andaman and Nicobar Islands,0,10,380581,0.0
AN,2020-04-08,Andaman and Nicobar Islands,1,11,380581,2.6275615440602658
AN,2020-04-09,Andaman and Nicobar Islands,0,11,380581,0.0
AN,2020-04-10,Andaman and Nicobar Islands,0,11,380581,0.0
AN,2020-04-11,Andaman and Nicobar Islands,0,11,380581,0.0
AN,2020-04-12,Andaman and Nicobar Islands,0,11,380581,0.0
AN,2020-04-13,Andaman and Nicobar Islands,0,11,380581,0.0
AN,2020-04-14,Andaman and Nicobar Islands,0,11,380581,0.0
AN,2020-04-15,Andaman and Nicobar Islands,0,11,380581,0.0
AN,2020-04-16,Andaman and Nicobar Islands,0,11,380581,0.0
AN,2020-04-17,Andaman and Nicobar Islands,1,12,380581,2.6275615440602658
AN,2020-04-18,Andaman and Nicobar Islands,2,14,380581,5.2551230881205315
AN,2020-04-19,Andaman and Nicobar Islands,1,15,380581,2.6275615440602658
AN,2020-04-20,Andaman and Nicobar Islands,1,16,380581,2.6275615440602658
AN,2020-04-21,Andaman and Nicobar Islands,1,17,380581,2.6275615440602658
AN,2020-04-22,Andaman and Nicobar Islands,1,18,380581,2.6275615440602658
AN,2020-04-23,Andaman and Nicobar Islands,4,22,380581,10.510246176241063
AN,2020-04-24,Andaman and Nicobar Islands,7,29,380581,18.392930808421863
AN,2020-04-25,Andaman and Nicobar Islands,4,33,380581,10.510246176241063
AN,2020-04-26,Andaman and Nicobar Islands,0,33,380581,0.0
AN,2020-04-27,Andaman and Nicobar Islands,0,33,380581,0.0
AN,2020-04-28,Andaman and Nicobar Islands,0,33,380581,0.0
AN,2020-04-29,Andaman and Nicobar Islands,0,33,380581,0.0
